Source,Title,Link,Summary,SEO_Score
Ada Derana,"President calls for urgent action to restore agriculture, livestock, and irrigation sectors",http://www.adaderana.lk/news.php?nid=115611,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764904200-AGRI-1.jpg"" width=""60"" />A meeting was held yesterday (04) at the Presidential Secretariat, presided by President Anura Kumara Dissanayake, with the participation of officials from the Ministry of Agriculture and the Ministry of Finance... MORE..",10
Ada Derana,"Congo, Rwanda leaders affirm commitment to Trump-backed peace deal",http://www.adaderana.lk/news.php?nid=115610,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764901304-CONGO-1.jpg"" width=""60"" />U.S. President Donald Trump gathered the leaders of the Democratic Republic of Congo and Rwanda to sign a peace deal in Washington on Thursday even as fighting continued in their war-scarred region. MORE..",10
Ada Derana,Third reading vote on 2026 Budget in Parliament today,http://www.adaderana.lk/news.php?nid=115609,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764900663-third-1.jpg"" width=""60"" />The third reading vote of the 2026 Appropriation Bill, or the 80th Budget Speech is scheduled to be held today (05) at 6 p.m., the Parliament s Department of Communication announced. MORE..",10
Ada Derana,Gangaramaya Temple donates Rs. 30 mln to Rebuilding Sri Lanka  Fund,http://www.adaderana.lk/news.php?nid=115608,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764899142-Gangarama-1.jpg"" width=""60"" />The Chief Incumbent of the Hunupitiya Gangaramaya Temple, Ven. Dr. Kirinde Assaji Nayaka Thera, stated that support will be extended to coordinate assistance from overseas Buddhist temples. MORE..",10
Ada Derana,Putin questions US punishing India for buying Russian oil,http://www.adaderana.lk/news.php?nid=115607,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764897760-oil-1.jpg"" width=""60"" />Russian President Vladimir Putin challenged heavy US pressure on India not to buy Russian fuel if the US could do so as he began a two-day state visit on Thursday (Dec 4), where he was embraced on arrival by Indian Prime Minister Narendra Modi. MORE..",10
Ada Derana,Fairly heavy rainfall expected in parts of the island today,http://www.adaderana.lk/news.php?nid=115606,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764897105-FAIRLY-1.jpg"" width=""60"" />The Northeast monsoon condition is gradually establishing over the island, the Department of Meteorology said. MORE..",10
Ada Derana,Russia s Putin arrives in India for summit talks with PM Modi,http://www.adaderana.lk/news.php?nid=115605,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764866635-putin-1.jpg"" width=""60"" />Russian President Vladimir Putin landed in New Delhi on Thursday, where he was received by Indian Prime Minister Narendra Modi at the airport, beginning the Russian leader s first visit to old friend India since the start of the war in Ukraine nearly four years back. MORE..",10
Ada Derana,Sri Lanka s death toll from adverse weather climbs to 486,http://www.adaderana.lk/news.php?nid=115604,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764865935-weather-1.jpg"" width=""60"" />The death toll due to the adverse weather conditions experienced in the country in the past few days has climbed to 486 as of 7.00 p.m. today, the Disaster Management Center (DMC) has confirmed. MORE..",10
Ada Derana,"IMF extends condolences, assesses support measures following Cyclone impact in Sri Lanka",http://www.adaderana.lk/news.php?nid=115603,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764864150-imf-1.jpg"" width=""60"" />The International Monetary Fund (IMF) has expressed deep condolences to the people of Sri Lanka in the wake of the devastating cyclone and severe flooding that has claimed lives and displaced thousands across the country. MORE..",10
Ada Derana,PM Harini vows full support to rebuild lives of disaster-affected citizens,http://www.adaderana.lk/news.php?nid=115602,"<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764861950-harini-1.jpg"" width=""60"" />Prime Minister Dr. Harini Amarasuriya stated that the Government of Sri Lanka extends gratitude to the Tri-Forces, the Police, public officers, volunteer organisations, the public, and all foreign nations who have dedicated themselves to supporting the affected people. MORE..",10
